#ZVView-data-copy:  25-Jan-2019 04:42:21
#=======================================
#
#name:   79-AU-197(N,G)79-AU-198,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  2424
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
      0.000355            0         2.65            0  # 1964,E.Haddad+           ## 12196002
      0.000357            0         16.5            0  # 1961,R.C.Block+          ## 11935026
      0.000365            0           27            0  # 1964,E.Haddad+           ## 12196002
       0.00037            0           11            0  # 1964,V.A.Konks+          ## 40799004
      0.000375            0         19.7            0  # 1964,E.Haddad+           ## 12196002
       0.00038            0         13.5            0  # 1961,R.C.Block+          ## 11935026
       0.00039            0         1.83            0  # 1964,E.Haddad+           ## 12196002
      0.000405            0          8.1            0  # 1961,R.C.Block+          ## 11935026
       0.00041            0         10.5            0  # 1964,V.A.Konks+          ## 40799004
       0.00042            0            8            0  # 1964,E.Haddad+           ## 12196002
       0.00044            0            8            0  # 1961,R.C.Block+          ## 11935026
      0.000445            0         10.9            0  # 1961,R.C.Block+          ## 11935026
